seed,N,baseline_s,candidate_s,delta_s,baseline_per_source_s,candidate_per_source_s
1830002532,12,9726.397068,9659.401089,-66.99597899999935,810.533089,804.9500907500001
1830002533,11,10135.163406,10151.247945,16.084538999999495,921.3784914545454,922.8407222727272
1830002534,10,9035.030233,9035.030233,0.0,903.5030233,903.5030233
1830002535,14,15253.416585,16164.511186,911.0946009999989,1089.5297560714287,1154.6079418571428
1830002536,14,10063.587632,9642.142384,-421.445248,718.8276880000001,688.724456
1830002537,11,9480.390041,9480.390041,0.0,861.8536400909092,861.8536400909092
1830002538,13,9294.715241,9294.715241,0.0,714.9780954615385,714.9780954615385
1830002539,10,9690.504959,10019.273446,328.76848699999937,969.0504959,1001.9273446
1830002540,13,10005.59058,9201.027694,-804.5628859999997,769.6608138461538,707.7713610769231
1830002541,13,9098.653273,9532.861521,434.2082480000008,699.8964056153847,733.2970400769232
1830002542,12,8452.767403,8253.767403,-199.0,704.3972835833333,687.81395025
1830002543,15,12920.228833,11452.164004,-1468.064828999999,861.3485888666667,763.4776002666666
1830002544,14,9850.239328,10023.78025,173.54092200000014,703.5885234285714,715.9843035714285
1830002545,13,9201.114465,9265.128806,64.01434100000006,707.7780357692308,712.7022158461539
1830002546,12,8955.129937,8765.870663,-189.259274,746.2608280833333,730.4892219166667
1830002547,12,11676.646759,13542.971032,1866.3242730000002,973.0538965833333,1128.5809193333332
1830002548,12,9366.706492,9485.309332,118.60284000000138,780.5588743333333,790.4424443333334
1830002549,11,9425.775333,9042.275134,-383.50019900000007,856.8886666363636,822.0250121818182
1830002550,11,12655.953624,12209.115205,-446.8384189999997,1150.5412385454545,1109.919564090909
1830002551,13,10279.892831,10394.690275,114.79744400000163,790.7609869999999,799.5915596153847
1830002552,15,9321.248895,9310.692293,-10.556602000000566,621.416593,620.7128195333333
1830002553,14,10130.667665,10151.769158,21.1014929999983,723.6191189285715,725.1263684285714
1830002554,14,8388.183498,8407.314529,19.131030999998984,599.1559641428572,600.5224663571428
1830002555,13,11231.830403,10868.078579,-363.75182399999903,863.9869540769231,836.0060445384617
1830002556,11,11178.595025,11032.916914,-145.67811100000108,1016.2359113636364,1002.9924467272726
1830002557,11,9244.802498,9244.802498,0.0,840.4365907272727,840.4365907272727
1830002558,15,9248.259174,9234.452799,-13.806375000000116,616.5506116,615.6301866
1830002559,16,15693.361679,14645.533864,-1047.8278149999987,980.8351049375,915.3458665
1830002560,12,9463.945437,10251.072954,787.127516999999,788.66211975,854.2560794999999
1830002561,16,8128.974507,8294.441748,165.46724099999938,508.0609066875,518.40260925
1830002562,13,11670.808241,11670.808241,0.0,897.7544800769231,897.7544800769231
1830002563,15,9751.222803,9757.08032,5.857516999998552,650.0815202,650.4720213333333
1830002564,16,8069.504153,9133.093814,1063.589661,504.3440095625,570.818363375
1830002565,12,10592.842129,10780.711695,187.8695659999994,882.7368440833334,898.39264125
1830002566,13,8440.811959,8425.057356,-15.754603000001225,649.2932276153847,648.081335076923
1830002567,12,10611.637463,10823.115007,211.47754400000122,884.3031219166666,901.9262505833334
1830002568,11,9866.001964,10274.308284,408.3063200000015,896.9092694545453,934.0280258181818
1830002569,11,9177.627708,9439.21011,261.582402,834.3297916363637,858.11001
1830002570,12,8715.997678,8974.833578,258.83590000000004,726.3331398333333,747.9027981666667
1830002571,10,9136.670204,9136.670204,0.0,913.6670204,913.6670204
1830002572,14,10636.086733,10084.072915,-552.0138179999994,759.7204809285714,720.2909225000001
1830002573,16,8268.773089,7935.974712,-332.7983770000001,516.7983180625,495.9984195
1830002574,12,10035.454345,9624.507014,-410.9473309999994,836.2878620833334,802.0422511666667
1830002575,11,9761.74156,9907.545323,145.8037629999999,887.4310509090909,900.6859384545455
1830002576,12,11144.452547,11022.190188,-122.26235900000029,928.7043789166668,918.515849
1830002577,12,11476.869599,11344.97558,-131.8940189999994,956.4057999166666,945.4146316666667
1830002578,13,8279.411207,8035.001145,-244.41006199999902,636.877785153846,618.0770111538461
1830002579,13,9811.375474,9892.795962,81.42048799999975,754.7211903076924,760.9843047692308
1830002580,11,11131.319344,11801.166821,669.8474770000012,1011.9381221818181,1072.8333473636364
1830002581,13,10151.052257,9950.428394,-200.6238629999989,780.8501736153846,765.4175687692308
1830002582,15,8170.071264,8164.988837,-5.08242700000028,544.6714176,544.3325891333333
1830002583,12,13489.512941,13232.752099,-256.7608420000015,1124.1260784166668,1102.7293415833333
1830002584,12,9559.701522,9516.849407,-42.852114999999685,796.6417935,793.0707839166666
1830002585,11,9963.02066,9616.291772,-346.72888799999964,905.7291509090909,874.2083429090909
1830002586,10,9303.804061,9437.482172,133.67811099999926,930.3804061000001,943.7482172
1830002587,14,10001.644519,9299.942563,-701.701955999999,714.4031799285714,664.2816116428572
1830002588,13,9484.171927,9598.169855,113.99792800000068,729.5516866923076,738.3207580769231
1830002589,16,13922.221354,12274.050004,-1648.1713499999987,870.138834625,767.12812525
1830002590,10,8821.054819,8886.162774,65.10795499999949,882.1054819000001,888.6162774000001
1830002591,12,10082.186661,10090.234912,8.048251000000164,840.1822217499999,840.8529093333333
1830002592,11,11766.56163,10663.455236,-1103.1063940000004,1069.6874209090909,969.4050214545455
1830002593,15,8901.505088,9109.945916,208.4408280000007,593.4336725333334,607.3297277333334
1830002594,10,8669.667063,8684.586102,14.91903899999852,866.9667063,868.4586102
1830002595,11,14846.598012,14564.824293,-281.7737190000007,1349.6907283636365,1324.0749357272728
1830002596,16,4127.983644,4007.756719,-120.22692499999994,257.99897775,250.4847949375
1830002597,11,11762.668661,12037.452546,274.78388500000074,1069.3335146363636,1094.313867818182
1830002598,13,9731.569723,10947.94984,1216.3801169999988,748.5822863846154,842.1499876923076
1830002599,16,8164.151601,7762.496988,-401.6546129999997,510.2594750625,485.15606175
1830002600,15,10225.630376,10368.608833,142.97845700000107,681.7086917333332,691.2405888666667
1830002601,16,10149.842949,10566.428652,416.58570300000065,634.3651843125,660.40179075
1830002602,15,8140.265236,8340.260619,199.9953830000004,542.6843490666666,556.0173746
1830002603,12,10241.794359,10125.192424,-116.60193499999878,853.4828632499999,843.7660353333334
1830002604,14,10630.232026,10304.816206,-325.41582000000017,759.3022875714286,736.0583004285714
